Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
John Chenal,44,FB,"6'2""",252 lbs,Jr.,"Grantsburg, Wis.",Grantsburg,2020
Leo Chenal,45,ILB,"6'2""",250 lbs,So.,"Grantsburg, Wis.",Grantsburg,2020
Gabe Lloyd,46,TE,"6'4""",231 lbs,Sr.,"Green Bay, Wis.",Northeast Wisconsin Lutheran,2020
Cole Dakovich,48,TE,"6'5""",252 lbs,Fr.,"Waukesha, Wis.",Catholic Memorial,2020
Cam Large,49,TE,"6'3""",257 lbs,Fr.,"Pomfret, Conn.",Noble & Greenough,2020
Logan Brown,50,OL,"6'6""",311 lbs,R-Fr.,"Grand Rapids, Mich.",East Kentwood,2020
Izayah Green-May,50,OLB,"6'6""",221 lbs,Jr.,"Bolingbrook, Ill.",Bolingbrook,2020
Adam Bay,51,LS,"6'0""",229 lbs,Sr.,"Mesa, Ariz.",Desert Ridge,2020
Gio Paez,51,DE,"6'3""",305 lbs,R-Fr.,"Los Angeles, Calif.",William A. Hough (N.C.),2020
Josh Bernhagen,52,LS,"6'2""",245 lbs,Sr.,"Madison, Wis.",La Follette,2020
Kaden Johnson,52,OLB,"6'2""",227 lbs,Fr.,"St. Paul, Minn",Minnehaha Academy,2020
Malik Reed,53,ILB,"6'0""",218 lbs,Fr.,"Chandler, Ariz.",Chandler,2020
Jordan Turner,54,ILB,"6'1""",216 lbs,Fr.,"Farmington, Mich.",Farmington,2020
Maema Njongmeta,55,ILB,"6'0""",220 lbs,R-Fr.,"Buffalo Grove, Ill.",Adlai E. Stevenson,2020
Rodas Johnson,56,DE,"6'2""",293 lbs,R-Fr.,"Columbus, Ohio",St. Francis DeSales,2020
Jack Sanborn,57,ILB,"6'2""",232 lbs,Jr.,"Deer Park, Ill.",Lake Zurich,2020
Mike Maskalunas,58,ILB,"6'3""",231 lbs,Sr.,"Long Grove, Ill.",Adlai E. Stevenson,2020
Aaron Witt,59,OLB,"6'6""",240 lbs,Fr.,"Winona, Minn.",Winona,2020
Logan Bruss,60,OL,"6'5""",310 lbs,Jr.,"Kimberly, Wis.",Kimberly,2020
Dylan Barrett,61,OL,"6'5""",306 lbs,Fr.,"St. Charles, Ill.",East,2020
Cormac Sampson,62,OL,"6'4""",280 lbs,So.,"Eau Claire, Wis.",Memorial,2020
Tanor Bortolini,63,OL,"6'4""",,Fr.,"Kewaunee, Wis.",Kewaunee,2020
Peter Bowden,63,LS,"6'2""",217 lbs,R-Fr.,"San Diego, Calif.",Francis Parker,2020
Sean Timmis,64,OL,"6'4""",286 lbs,Fr.,"Shorewood, Wis.",Marquette University HS,2020
Tyler Beach,65,OL,"6'6""",309 lbs,Jr.,"Grafton, Wis.",Port Washington,2020
Jon Dietzen,67,OL,"6'6""",319 lbs,Sr.,"Black Creek, Wis.",Seymour,2020
Ben Barten,68,OL,"6'5""",285 lbs,Fr.,"Stratford, Wis.",Stratford,2020
Aaron Vopal,69,OL,"6'6""",312 lbs,Jr.,"De Pere, Wis.",De Pere,2020
Josh Seltzner,70,OL,"6'4""",327 lbs,Jr.,"Columbus, Wis.",Columbus,2020
Cole Van Lanen,71,OL,"6'5""",312 lbs,Sr.,"Green Bay, Wis.",Bay Port,2020
Kerry Kodanko,73,OL,"6'2""",292 lbs,Fr.,"Green Bay, Wis.",West DePere,2020
Michael Furtney,74,OL,"6'5""",307 lbs,So.,"Milan, Mich.",Milan,2020
Michael Balistreri,75,DE,"6'4""",288 lbs,Jr.,"Grafton, Wis.",University School of Milwaukee,2020
Joe Tippmann,75,OL,"6'6""",312 lbs,R-Fr.,"Fort Wayne, Ind.",Bishop Dwenger,2020
Kayden Lyles,76,OL,"6'3""",321 lbs,Jr.,"Madison, Wis.",Middleton,2020
Blake Smithback,77,OL,"6'2""",305 lbs,Jr.,"Waunakee, Wis.",Waunakee,2020
Trey Wedig,78,OL,"6'7""",320 lbs,Fr.,"Oconomowoc, Wis.",Kettle Moraine,2020
Jack Nelson,79,OL,"6'7""",289 lbs,Fr.,"Stoughton, Wis.",Stoughton,2020
Taj Mustapha,81,WR,"6'0""",190 lbs,So.,"Southfield, Mich.",West Bloomfield,2020
Jack Eschenbach,82,TE,"6'6""",224 lbs,So.,"Downers Grove, Ill.",Benet Academy,2020
Jake Ferguson,84,TE,"6'5""",246 lbs,Jr.,"Madison, Wis.",Memorial,2020
Clay Cundiff,85,TE,"6'3""",251 lbs,R-Fr.,"Wichita, Kan.",Bishop Carroll,2020
Devin Chandler,86,WR,"6'0""",176 lbs,Fr.,"Huntersville, N.C.",Hough,2020
Hayden Rucci,87,TE,"6'4""",250 lbs,R-Fr.,"Lititz, Pa.",Warwick,2020
A.J. Abbott,89,WR,"6'2""",192 lbs,So.,"Northville, Mich.",West Bloomfield,2020
James Thompson Jr.,90,DE,"6'5""",277 lbs,Fr.,"Cincinnati, Ohio",Roger Bacon,2020
Bryson Williams,91,NT,"6'2""",300 lbs,Jr.,"Lincoln, Neb.",Southeast,2020
Matt Henningsen,92,DE,"6'3""",286 lbs,Jr.,"Menomonee Falls, Wis.",Menomonee Falls,2020
Garrett Rand,93,DE,"6'2""",279 lbs,Sr.,"Chandler, Ariz.",Hamilton,2020
Boyd Dietzen,94,DE,"6'3""",264 lbs,So.,"Combined Locks, Wis.",Kimberly,2020
Keeanu Benton,95,NT,"6'4""",315 lbs,So.,"Janesville, Wis.",Craig,2020
Cade McDonald,96,DE,"6'6""",267 lbs,Fr.,"Houlton, Wis.",Hudson,2020
Conor Schlichting,96,P,"6'2""",222 lbs,Jr.,"Madison, Wis.",East,2020
Isaiahh Loudermilk,97,DE,"6'7""",293 lbs,Sr.,"Howard, Kan.",West Elk,2020
C.J. Goetz,98,OLB,"6'3""",241 lbs,So.,"Muskego, Wis.",Catholic Memorial,2020
Isaiah Mullens,99,DE,"6'4""",283 lbs,So.,"Columbus, Ohio",Harvest Prep,2020
Braelon Allen,0,RB,"6'2""",238 lbs,Fr.,"Fond du Lac, Wis.",Fond du Lac,2021
Faion Hicks,1,CB,"5'10""",192 lbs,Sr.,"Miami, Fla.",Flanagan,2021
Ricardo Hallman,2,CB,"5'10""",173 lbs,Fr.,"Miami, Fla.",University School,2021
Chase Wolf,2,QB,"6'1""",200 lbs,Jr.,"Cincinnati, Ohio",Saint Xavier,2021
T.J. Bollers,3,OLB,"6'2""",258 lbs,Fr.,"Tiffin, Iowa",Clear Creek Amana,2021
Kendric Pryor,3,WR,"5'11""",189 lbs,Sr.,"Hazel Crest, Ill.",Homewood-Flossmoor,2021
Markus Allen,4,WR,"6'1""",215 lbs,Fr.,"Dayton, Ohio",Northmont,2021
Leo Chenal,5,ILB,"6'2""",261 lbs,Jr.,"Grantsburg, Wis.",Grantsburg,2021
Graham Mertz,5,QB,"6'3""",227 lbs,So.,"Overland Park, Kan.",Blue Valley North,2021
Dean Engram,6,CB,"5'9""",168 lbs,So.,"Columbia, Md.",Gonzaga College HS,2021
Chez Mellusi,6,RB,"5'11""",204 lbs,Jr.,"Naples, Fla.",Naples,2021
Danny Davis III,7,WR,"6'0""",196 lbs,Sr.,"Springfield, Ohio",Springfield,2021
Spencer Lytle,7,OLB,"6'2""",230 lbs,So.,"Redondo Beach, Calif.",St. John Bosco,2021
Scott Nelson,9,S,"6'2""",205 lbs,Sr.,"Detroit, Mich.",University of Detroit Jesuit,2021
Stephan Bracey Jr.,10,WR,"5'10""",184 lbs,So.,"Grand Rapids, Mich.",East Kentwood,2021
Deacon Hill,10,QB,"6'3""",248 lbs,Fr.,"Santa Barbara, Calif.",Santa Barbara,2021
Skyler Bell,11,WR,"6'0""",190 lbs,Fr.,"Bronx, N.Y.",The Taft School,2021
Alexander Smith,11,CB,"5'11""",176 lbs,Jr.,"Culver City, Calif.",Culver City,2021
Max Lofy,12,CB,"5'10""",181 lbs,R-Fr.,"Colorado Springs, Colo.",Pine Creek,2021
Chimere Dike,13,WR,"6'1""",199 lbs,So.,"Waukesha, Wis.",North,2021
Preston Zachman,14,S,"6'1""",211 lbs,R-Fr.,"Elysburg, Pa.",Southern Columbia,2021
John Torchio,15,S,"6'1""",208 lbs,Jr.,"Lafayette, Calif.",Campolindo,2021
Danny Vanden Boom,15,QB,"6'5""",207 lbs,Sr.,"Kimberly, Wis.",Kimberly,2021
Jack Dunn,16,WR,"5'7""",176 lbs,Sr.,"Madison, Wis.",Edgewood,2021
Darryl Peterson,17,OLB,"6'1""",247 lbs,Fr.,"Akron, Ohio",Archbishop Hoban,2021
Collin Wilder,18,S,"5'10""",199 lbs,Sr.,"Katy, Texas",Katy,2021
Nick Herbig,19,OLB,"6'2""",227 lbs,So.,"Kauai, Hawaii",Saint Louis School,2021
Collin Larsh,19,K,"5'10""",194 lbs,Sr.,"Marshall, Wis.",Monona Grove,2021
Isaac Guerendo,20,RB,"6'0""",219 lbs,Jr.,"Clayton, Ind.",Avon,2021
Semar Melvin,20,CB,"5'11""",170 lbs,So.,"Pembroke Pines, Fla.",St. Thomas Aquinas,2021
Caesar Williams,21,CB,"6'0""",188 lbs,Sr.,"Grand Prairie, Texas",South,2021
Jack Van Dyke,22,K,"6'5""",215 lbs,So.,"Neenah, Wis.",Neenah,2021
Hunter Wohler,24,S,"6'2""",201 lbs,Fr.,"Muskego, Wis.",Muskego,2021
