Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Tommy McIntosh,15,WR,"6'5""",204 lbs,Fr.,"DeWitt, Mich.",DeWitt,2022
John Torchio,15,S,"6'1""",211 lbs,Sr.,"Lafayette, Calif.",Campolindo,2022
Myles Burkett,16,QB,"6'0""",204 lbs,Fr.,"Franklin, Wis.",Franklin,2022
Cade Yacamelli,16,S,"6'0""",207 lbs,Fr.,"Trafford, Pa.",Penn-Trafford,2022
Darryl Peterson,17,OLB,"6'1""",244 lbs,R-Fr.,"Akron, Ohio",Archbishop Hoban,2022
Owen Arnett,18,S,"5'11""",212 lbs,R-Fr.,"Delafield, Wis.",Arrowhead,2022
Nick Herbig,19,OLB,"6'2""",228 lbs,Jr.,"Kauai, Hawaii",Saint Louis School,2022
Isaac Guerendo,20,RB,"6'0""",223 lbs,Sr.,"Clayton, Ind.",Avon,2022
Semar Melvin,20,CB,"5'11""",170 lbs,Jr.,"Pembroke Pines, Fla.",St. Thomas Aquinas,2022
Justin Clark,21,CB,"5'11""",180 lbs,Sr.,"Pontiac, Mich.",West Bloomfield,2022
Cam Fane,21,WR,"6'1""",176 lbs,Fr.,"Arlington, Texas",Madison Edgewood (Wis.),2022
Jack Van Dyke,22,K,"6'5""",214 lbs,Jr.,"Neenah, Wis.",Neenah,2022
Cole Toennies,24,WR,"6'2""",186 lbs,Fr.,"Middleton, Wis.",Middleton,2022
Hunter Wohler,24,S,"6'2""",210 lbs,So.,"Muskego, Wis.",Muskego,2022
Jake Ratzlaff,25,ILB,"6'2""",225 lbs,R-Fr.,"Rosemount, Minn.",Rosemount,2022
Travian Blaylock,26,S,"5'11""",198 lbs,Sr.,"Humble, Texas",Atascocita,2022
Grady O'Neill,26,WR,"5'11""",165 lbs,Fr.,"Prior Lake, Minn.",St. Thomas Academy,2022
Haakon Anderson,27,WR,"6'1""",209 lbs,So.,"Verona, Wis.",Verona,2022
Mike Gregoire,28,WR,"5'10""",187 lbs,Sr.,"Green Bay, Wis.",Notre Dame Academy,2022
Gavin Meyers,28,P,"6'1""",194 lbs,So.,"Oshkosh, Wis.",Lourdes Academy,2022
Brady Schipper,29,RB,"5'11""",202 lbs,Sr.,"Stoughton, Wis.",Stoughton,2022
Nate Van Zelst,29,K,"5'11""",184 lbs,R-Fr.,"Glenview, Ill.",Loyola Academy,2022
Al Ashford III,30,CB,"6'0""",181 lbs,R-Fr.,"Denver, Colo.",Cherry Creek,2022
Alex Moeller,30,WR,"5'11""",177 lbs,R-Fr.,"Arlington Heights, Ill.",Prospect,2022
Jordan DiBenedetto,31,WR,"6'0""",200 lbs,Sr.,"Stoughton, Wis.",Stoughton,2022
Amaun Williams,31,CB,"5'10""",177 lbs,So.,"Milwaukee, Wis.",Riverside,2022
Julius Davis,32,RB,"5'10""",201 lbs,Jr.,"Menomonee Falls, Wis.",Menomonee Falls,2022
Marty Strey,32,OLB,"6'2""",225 lbs,Sr.,"Sun Prairie, Wis.",Sun Prairie,2022
Jackson Acker,34,RB,"6'1""",238 lbs,R-Fr.,"Madison, Wis.",Verona,2022
Charlie Jarvis,34,S,"6'1""",198 lbs,Fr.,"Hartland, Wis.",Catholic Memorial,2022
Jake Chaney,36,ILB,"5'11""",229 lbs,So.,"Cape Coral, Fla.",Lehigh,2022
Bryce Carey,37,S,"6'1""",198 lbs,Jr.,"Middleton, Wis.",Middleton,2022
Riley Nowakowski,37,FB,"6'1""",237 lbs,So.,"Milwaukee, Wis.",Marquette University HS,2022
Lee Hutton,38,CB,"5'10""",176 lbs,Fr.,"Minnetonka, Minn.",Hopkins,2022
Andy Vujnovich,38,P,"6'3""",230 lbs,Sr.,"Columbus, Wis.",Columbus,2022
Tatum Grass,39,ILB,"6'2""",232 lbs,Jr.,"Holmen, Wis.",Holmen,2022
JT Seagreaves,41,TE,"6'6""",224 lbs,Fr.,"Monroe, Wis.",Monroe,2022
Titus Toler,41,S,"5'11""",195 lbs,R-Jr.,"Long Beach, Calif.",St. John Bosco,2022
Grover Bortolotti,43,RB,"5'9""",192 lbs,R-Fr.,"Whitefish Bay, Wis.",Whitefish Bay,2022
Jackson Trudgeon,43,S,"6'1""",196 lbs,Fr.,"Fitchburg, Wis.",Madison Edgewood,2022
Zach Gloudeman,44,FB,"6'2""",218 lbs,Fr.,"Spring Green, Wis.",River Valley,2022
Garrison Solliday,45,ILB,"5'11""",240 lbs,R-Fr.,"Eagan, Minn.",St. Thomas Academy,2022
Deven Magli,46,S,"6'1""",192 lbs,Fr.,"DeForest, Wis.",DeForest,2022
Peter Bowden,47,LS,"6'2""",230 lbs,Jr.,"San Diego, Calif.",Francis Parker,2022
Cole Dakovich,48,TE,"6'5""",250 lbs,So.,"Waukesha, Wis.",Catholic Memorial,2022
Cam Large,49,TE,"6'3""",235 lbs,So.,"Pomfret, Conn.",Noble & Greenough,2022
Aidan Vaughan,50,ILB,"6'2""",213 lbs,Fr.,"Wixom, Mich.",Walled Lake Western,2022
Bryan Sanborn,51,ILB,"6'1""",232 lbs,R-Fr.,"Deer Park, Ill.",Lake Zurich,2022
Kaden Johnson,52,OLB,"6'2""",230 lbs,So.,"St. Paul, Minn",Minnehaha Academy,2022
Ross Gengler,53,OLB,"6'2""",230 lbs,So.,"Delavan, Wis.",Delavan-Darien,2022
Jordan Turner,54,ILB,"6'1""",225 lbs,So.,"Farmington, Mich.",Farmington,2022
Maema Njongmeta,55,ILB,"6'0""",229 lbs,Jr.,"Buffalo Grove, Ill.",Adlai E. Stevenson,2022
Joe Brunner,56,OL,"6'5""",317 lbs,Fr.,"Whitefish Bay, Wis.",Whitefish Bay,2022
Rodas Johnson,56,DE,"6'2""",293 lbs,Jr.,"Columbus, Ohio",St. Francis DeSales,2022
Luna Larson,57,ILB,"6'2""",216 lbs,Fr.,"Baraboo, Wis.",Baraboo,2022
Gabe Kirschke,58,DL,"6'5""",234 lbs,Fr.,"Lone Tree, Colo.",Valor Christian,2022
Aaron Witt,59,OLB,"6'6""",255 lbs,So.,"Winona, Minn.",Winona,2022
Dylan Barrett,61,OL,"6'5""",320 lbs,So.,"St. Charles, Ill.",East,2022
Tanor Bortolini,63,OL,"6'4""",313 lbs,So.,"Kewaunee, Wis.",Kewaunee,2022
Duncan McKinley,64,LS,"6'2""",224 lbs,So.,"Eau Claire, Wis.",Memorial,2022
Sean Timmis,64,OL,"6'4""",305 lbs,So.,"Shorewood, Wis.",Marquette University HS,2022
Tyler Beach,65,OL,"6'6""",317 lbs,Sr.,"Grafton, Wis.",Port Washington,2022
Nolan Rucci,66,OL,"6'8""",297 lbs,R-Fr.,"Lititz, Pa.",Warwick,2022
JP Benzschawel,67,OL,"6'6""",302 lbs,R-Fr.,"Grafton, Wis.",Grafton,2022
Ben Barten,68,DE,"6'5""",300 lbs,So.,"Stratford, Wis.",Stratford,2022
Zach Zei,69,LS,"6'2""",221 lbs,R-Fr.,"Arlington Heights, Ill.",Prospect,2022
Barrett Nelson,70,OL,"6'6""",277 lbs,Fr.,"Stoughton, Wis.",Stoughton,2022
Riley Mahlman,71,OL,"6'8""",315 lbs,R-Fr.,"Lakeville, Minn.",South,2022
Kerry Kodanko,73,OL,"6'2""",305 lbs,So.,"Green Bay, Wis.",West DePere,2022
Michael Furtney,74,OL,"6'5""",315 lbs,Sr.,"Milan, Mich.",Milan,2022
Joe Tippmann,75,OL,"6'6""",317 lbs,Jr.,"Fort Wayne, Ind.",Bishop Dwenger,2022
Tommy Brunner,76,DE,"6'3""",260 lbs,Jr.,"Milwaukee, Wis.",Whitefish Bay,2022
John Clifford,76,OL,"6'5""",273 lbs,Fr.,"Watertown, Wis.",Watertown,2022
Drew Evans,77,OL,"6'4""",275 lbs,Fr.,"Fort Atkinson, Wis.",Fort Atkinson,2022
Trey Wedig,78,OL,"6'7""",315 lbs,So.,"Oconomowoc, Wis.",Kettle Moraine,2022
Jack Nelson,79,OL,"6'7""",310 lbs,So.,"Stoughton, Wis.",Stoughton,2022
Jaylan Franklin,81,TE,"6'4""",243 lbs,Sr.,"Brownstown, Mich.",O.A. Carlson,2022
Jack Eschenbach,82,TE,"6'6""",241 lbs,Sr.,"Downers Grove, Ill.",Benet Academy,2022
Chris Brooks Jr.,84,WR,"6'2""",215 lbs,Fr.,"St. Louis, Mo.",St. Louis University School,2022
Clay Cundiff,85,TE,"6'3""",236 lbs,Jr.,"Wichita, Kan.",Bishop Carroll,2022
Vinny Anthony II,86,WR,"6'0""",171 lbs,Fr.,"Louisville, Ky.",Male,2022
Hayden Rucci,87,TE,"6'4""",256 lbs,Jr.,"Lititz, Pa.",Warwick,2022
Jack Pugh,89,TE,"6'5""",236 lbs,R-Fr.,"Columbus, Ohio",Hilliard Bradley,2022
James Thompson Jr.,90,DE,"6'5""",295 lbs,So.,"Cincinnati, Ohio",Roger Bacon,2022
Vito Calvaruso,91,K,"6'3""",200 lbs,Jr.,"Jefferson City, Mo.",Helias Catholic,2022
Tristan Monday,91,DL,"6'4""",276 lbs,Fr.,"Scottsdale, Ariz",Saguaro,2022
Curt Neal,92,NT,"6'0""",290 lbs,Fr.,"Cornelius, N.C.",William A. Hough,2022
Isaac Townsend,93,DE,"6'5""",283 lbs,Jr.,"Arvada, Colo.",Ralston Valley,2022
Gio Paez,94,DE,"6'3""",316 lbs,Jr.,"Los Angeles, Calif.",William A. Hough (N.C.),2022
Keeanu Benton,95,NT,"6'4""",315 lbs,Sr.,"Janesville, Wis.",Craig,2022
Cade McDonald,96,DE,"6'6""",285 lbs,So.,"Houlton, Wis.",Hudson,2022
Mike Jarvis,97,DE,"6'4""",292 lbs,R-Fr.,"Medford, N.J.",Shawnee,2022
Gavin Lahm,97,K,"6'0""",225 lbs,Fr.,"Kaukauna, Wis.",Kaukauna,2022
C.J. Goetz,98,OLB,"6'3""",240 lbs,Sr.,"Muskego, Wis.",Catholic Memorial,2022
Isaiah Mullens,99,DE,"6'4""",303 lbs,Sr.,"Columbus, Ohio",Harvest Prep,2022
Braelon Allen,0,RB,"6'2""",245 lbs,Jr.,"Fond du Lac, Wis.",Fond du Lac,2023
Chez Mellusi,1,RB,"5'11""",212 lbs,Gr.,"Naples, Fla.",Naples,2023
Ricardo Hallman,2,CB,"5'10""",185 lbs,R-So.,"Miami, Fla.",University School,2023
T.J. Bollers,3,OLB,"6'2""",270 lbs,R-So.,"Tiffin, Iowa",Clear Creek Amana,2023
C.J. Williams,4,WR,"6'1""",197 lbs,So.,"Mission Viejo, Calif.",Mater Dei,2023
Quincy Burroughs,5,WR,"6'3""",208 lbs,R-Fr.,"Jacksonville, Fla.",Raines,2023
Will Pauling,6,WR,"5'10""",187 lbs,R-So.,"Chicago, Ill.",Homewood-Flossmoor,2023
Nick Evers,7,QB,"6'3""",196 lbs,R-Fr.,"Flower Mound, Texas",Flower Mound,2023
Michael Mack,7,CB,"6'1""",180 lbs,Jr.,"Glenn Dale, Md.",Bullis School,2023
Tanner Mordecai,8,QB,"6'2""",218 lbs,R-Sr.,"Waco, Texas",Midway,2023
Austin Brown,9,S,"6'1""",210 lbs,So.,"Johnston City, Ill.",Johnston City,2023
Bryson Green,9,WR,"6'0""",215 lbs,Jr.,"Allen, Texas",Allen,2023
Nyzier Fourqurean,10,CB,"6'1""",190 lbs,Jr.,"Mentor, Ohio",Mentor,2023
Alexander Smith,11,CB,"5'11""",187 lbs,Gr.,"Culver City, Calif.",Culver City,2023
Trech Kekahuna,12,WR,"5'10""",180 lbs,Fr.,"Honolulu, Hawaii",Bishop Gorman,2023
Max Lofy,12,CB,"5'10""",190 lbs,R-Jr.,"Colorado Springs, Colo.",Pine Creek,2023
Kamo'i Latu,13,S,"6'0""",207 lbs,Sr.,"Honolulu, Hawaii",Saint Louis School,2023
Preston Zachman,14,S,"6'1""",207 lbs,R-So.,"Elysburg, Pa.",Southern Columbia,2023
Tommy McIntosh,15,WR,"6'5""",205 lbs,R-Fr.,"DeWitt, Mich.",DeWitt,2023
Myles Burkett,16,QB,"6'0""",202 lbs,R-Fr.,"Franklin, Wis.",Franklin,2023
Amare Snowden,16,CB,"6'4""",199 lbs,Fr.,"Roseville, Mich.",Roseville,2023
Cole LaCrue,17,QB,"6'1""",197 lbs,Fr.,"Broomfield, Colo.",Broomfield,2023
Darryl Peterson,17,OLB,"6'1""",245 lbs,R-So.,"Akron, Ohio",Archbishop Hoban,2023
Owen Arnett,18,S,"5'11""",208 lbs,R-So.,"Delafield, Wis.",Arrowhead,2023
Braedyn Locke,18,QB,"6'0""",200 lbs,R-Fr.,"Rockwall, Texas",Rockwall,2023
Braedyn Moore,20,S,"6'2""",200 lbs,Fr.,"Hamilton, Ohio",Stephen T. Badin,2023
Nate White,20,RB,"5'11""",170 lbs,Fr.,"Milwaukee, Wis.",Rufus King,2023
Jonas Duclona,21,CB,"5'10""",188 lbs,Fr.,"Naples, Fla.",Naples,2023
Cam Fane,21,WR,"6'1""",184 lbs,R-Fr.,"Arlington, Texas",Madison Edgewood (Wis.),2023
Jace Arnold,22,CB,"5'9""",186 lbs,Fr.,"Marietta, Ga.",Marietta,2023
Jack Van Dyke,22,P/K,"6'5""",228 lbs,Sr.,"Neenah, Wis.",Neenah,2023
Jason Maitre,23,CB,"5'10""",188 lbs,R-Sr.,"Everett, Mass.",Everett,2023
Davion Thomas-Kumpula,23,WR,"5'11""",174 lbs,Fr.,"Racine, Wis.",Saint Catherine's,2023
Hunter Wohler,24,S,"6'2""",211 lbs,Jr.,"Muskego, Wis.",Muskego,2023
Justin Taylor,25,S,"6'0""",195 lbs,Fr.,"Broadview, Ill.",Nazareth Academy,2023
Cade Yacamelli,25,RB,"6'0""",213 lbs,R-Fr.,"Trafford, Pa.",Penn-Trafford,2023
Travian Blaylock,26,S,"5'11""",208 lbs,Gr.,"Humble, Texas",Atascocita,2023
Grady O'Neill,26,WR,"5'11""",160 lbs,R-Fr.,"Prior Lake, Minn.",St. Thomas Academy,2023
Haakon Anderson,27,WR,"6'1""",210 lbs,R-Jr.,"Verona, Wis.",Verona,2023
Tyler Jansey,27,ILB,"6'0""",230 lbs,Fr.,"Batavia, Ill.",Batavia,2023
Christian Alliegro,28,LB,"6'4""",228 lbs,Fr.,"Darien, Conn.",Avon Old Farms,2023
Gavin Meyers,28,P,"6'1""",203 lbs,R-Jr.,"Oshkosh, Wis.",Lourdes Academy,2023
A.J. Tisdell,29,CB,"5'11""",189 lbs,Fr.,"College Station, Texas",College Station,2023
Nate Van Zelst,29,K,"5'11""",200 lbs,R-So.,"Glenview, Ill.",Loyola Academy,2023
Alex Moeller,30,WR,"5'11""",180 lbs,R-So.,"Arlington Heights, Ill.",Prospect,2023
Marty Strey,32,OLB,"6'2""",235 lbs,Gr.,"Sun Prairie, Wis.",Sun Prairie,2023
Jackson Acker,34,RB,"6'1""",235 lbs,R-So.,"Madison, Wis.",Verona,2023
Charlie Jarvis,34,S,"6'1""",205 lbs,R-Fr.,"Hartland, Wis.",Catholic Memorial,2023
Jake Chaney,36,ILB,"5'11""",235 lbs,Jr.,"Cape Coral, Fla.",Lehigh,2023
Bryce Carey,37,S,"6'1""",195 lbs,R-Jr.,"Middleton, Wis.",Middleton,2023
Riley Nowakowski,37,TE,"6'1""",243 lbs,R-Jr.,"Milwaukee, Wis.",Marquette University HS,2023
Tucker Ashcraft,38,TE,"6'5""",245 lbs,Fr.,"Seattle, Wash.",O'Dea,2023
Tatum Grass,39,ILB,"6'2""",234 lbs,R-Sr.,"Holmen, Wis.",Holmen,2023
JT Seagreaves,41,TE,"6'6""",245 lbs,R-Fr.,"Monroe, Wis.",Monroe,2023
Grover Bortolotti,43,RB,"5'9""",193 lbs,R-So.,"Whitefish Bay, Wis.",Whitefish Bay,2023
Jackson Trudgeon,43,S,"6'1""",202 lbs,R-Fr.,"Fitchburg, Wis.",Madison Edgewood,2023
Zach Gloudeman,44,RB,"6'2""",226 lbs,R-Fr.,"Spring Green, Wis.",River Valley,2023
Jeff Pietrowski Jr.,44,OLB,"6'2""",243 lbs,R-Jr.,"Medina, Ohio",St. Edward,2023
Garrison Solliday,45,ILB,"5'11""",233 lbs,R-So.,"Eagan, Minn.",St. Thomas Academy,2023
Deven Magli,46,S,"6'1""",198 lbs,R-Fr.,"DeForest, Wis.",DeForest,2023
Peter Bowden,47,LS,"6'2""",242 lbs,R-Sr.,"San Diego, Calif.",Francis Parker,2023
Evan Van Dyn Hoven,47,LB,"6'3""",228 lbs,Fr.,"Menasha, Wis.",Menasha,2023
Cole Dakovich,48,TE,"6'5""",255 lbs,R-Jr.,"Waukesha, Wis.",Catholic Memorial,2023
Atticus Bertrams,49,P,"6'3""",225 lbs,Fr.,"Sydney, Australia",Newington College,2023
Cam Large,49,TE,"6'3""",237 lbs,R-Sr.,"Pomfret, Conn.",Noble & Greenough,2023
Aidan Vaughan,50,ILB,"6'2""",224 lbs,R-Fr.,"Wixom, Mich.",Walled Lake Western,2023
Bryan Sanborn,51,ILB,"6'1""",230 lbs,R-So.,"Deer Park, Ill.",Lake Zurich,2023
Ross Gengler,53,OLB,"6'2""",230 lbs,R-Jr.,"Delavan, Wis.",Delavan-Darien,2023
Jordan Turner,54,ILB,"6'1""",238 lbs,R-Jr.,"Farmington, Mich.",Farmington,2023
Maema Njongmeta,55,ILB,"6'0""",240 lbs,R-Sr.,"Buffalo Grove, Ill.",Adlai E. Stevenson,2023
Joe Brunner,56,OL,"6'5""",318 lbs,R-Fr.,"Whitefish Bay, Wis.",Whitefish Bay,2023
Rodas Johnson,56,DE,"6'2""",295 lbs,R-Sr.,"Columbus, Ohio",St. Francis DeSales,2023
Jake Renfro,57,OL,"6'4""",310 lbs,R-Jr.,"Mokena, Ill.",Providence Catholic,2023
Gabe Kirschke,58,DL,"6'5""",250 lbs,R-Fr.,"Lone Tree, Colo.",Valor Christian,2023
Aaron Witt,59,OLB,"6'6""",258 lbs,R-Jr.,"Winona, Minn.",Winona,2023
Joe Huber,60,OL,"6'5""",311 lbs,R-Jr.,"Dublin, Ohio",Jerome,2023
Max Rader,62,OL,"6'6""",283 lbs,R-Fr.,"De Pere, Wis.",Notre Dame Academy,2023
Tanor Bortolini,63,OL,"6'4""",310 lbs,R-Jr.,"Kewaunee, Wis.",Kewaunee,2023
Duncan McKinley,64,LS,"6'2""",230 lbs,R-Jr.,"Eau Claire, Wis.",Memorial,2023
Sean Timmis,64,OL,"6'4""",307 lbs,R-So.,"Shorewood, Wis.",Marquette University HS,2023
James Durand,65,OL,"6'5""",303 lbs,Fr.,"Gilbert, Ariz.",Basha,2023
JP Benzschawel,67,OL,"6'6""",312 lbs,R-So.,"Grafton, Wis.",Grafton,2023
Ben Barten,68,DE,"6'5""",303 lbs,R-Jr.,"Stratford, Wis.",Stratford,2023
Zach Zei,69,LS,"6'2""",220 lbs,R-So.,"Arlington Heights, Ill.",Prospect,2023
Barrett Nelson,70,OL,"6'6""",292 lbs,R-Fr.,"Stoughton, Wis.",Stoughton,2023
Riley Mahlman,71,OL,"6'8""",320 lbs,R-So.,"Lakeville, Minn.",South,2023
Kerry Kodanko,73,OL,"6'2""",315 lbs,Jr.,"Green Bay, Wis.",West DePere,2023
Michael Furtney,74,OL,"6'5""",316 lbs,Gr.,"Milan, Mich.",Milan,2023
John Clifford,76,OL,"6'5""",304 lbs,R-Fr.,"Watertown, Wis.",Watertown,2023
Peyton Lange,77,OL,"6'9""",340 lbs,Fr.,"Minneapolis, Minn.",Minnehaha Academy,2023
Will McDonald,77,DL,"6'4""",254 lbs,Fr.,"Houlton, Wis.",Hudson,2023
Trey Wedig,78,OL,"6'7""",318 lbs,R-Jr.,"Oconomowoc, Wis.",Kettle Moraine,2023
Jack Nelson,79,OL,"6'7""",311 lbs,R-Jr.,"Stoughton, Wis.",Stoughton,2023
Angel Toombs,81,TE,"6'5""",245 lbs,Fr.,"Milwaukee, Wis.",Rufus King,2023
Michael Cerniglia Jr.,82,TE,"6'3""",240 lbs,R-Jr.,"Madison, Wis.",Memorial,2023
Chris Brooks Jr.,84,WR,"6'2""",225 lbs,R-Fr.,"St. Louis, Mo.",St. Louis University School,2023
Manny Mullens,84,DE,"6'2""",276 lbs,So.,"Columbus, Ohio",Harvest Preparatory,2023
Nolan Vils,85,DL,"6'2""",271 lbs,Fr.,"Prairie Du Sac, Wis.",Sauk Prairie,2023
Vinny Anthony II,86,WR,"6'0""",183 lbs,So.,"Louisville, Ky.",Male,2023
Hayden Rucci,87,TE,"6'4""",253 lbs,R-Sr.,"Lititz, Pa.",Warwick,2023
Jack Pugh,89,TE,"6'5""",257 lbs,R-So.,"Columbus, Ohio",Hilliard Bradley,2023
James Thompson Jr.,90,DE,"6'5""",288 lbs,R-Jr.,"Cincinnati, Ohio",Roger Bacon,2023
Nathanial Vakos,90,K,"6'1""",200 lbs,So.,"Avon, Ohio",Avon,2023
Jamel Howard,91,DL,"6'2""",318 lbs,Fr.,"Chicago, Ill.",Marist,2023
Curt Neal,92,NT,"6'0""",300 lbs,R-Fr.,"Cornelius, N.C.",William A. Hough,2023
Isaac Townsend,93,DE,"6'5""",277 lbs,R-Sr.,"Arvada, Colo.",Ralston Valley,2023
Gio Paez,94,DE,"6'3""",310 lbs,R-Sr.,"Los Angeles, Calif.",William A. Hough (N.C.),2023
Jordan Mayer,95,OLB,"6'4""",235 lbs,Fr.,"Jefferson Hills, Pa.",Thomas Jefferson,2023
Cade McDonald,96,DE,"6'6""",285 lbs,R-Jr.,"Houlton, Wis.",Hudson,2023
Mike Jarvis,97,DE,"6'4""",288 lbs,R-So.,"Medford, N.J.",Shawnee,2023
Gavin Lahm,97,K,"6'0""",216 lbs,So.,"Kaukauna, Wis.",Kaukauna,2023
C.J. Goetz,98,OLB,"6'3""",240 lbs,Gr.,"Muskego, Wis.",Catholic Memorial,2023
Isaiah Mullens,99,DE,"6'4""",298 lbs,Gr.,"Columbus, Ohio",Harvest Prep,2023
John Pius,0,OLB,"6'4""",250 lbs,R-Sr.,"Arlington, Va.",Yorktown,2024
Jake Chaney,1,ILB,"5'11""",233 lbs,Sr.,"Cape Coral, Fla.",Lehigh,2024
Chez Mellusi,1,RB,"5'11""",212 lbs,6th,"Naples, Fla.",Naples,2024
Ricardo Hallman,2,CB,"5'10""",185 lbs,R-Jr.,"Miami, Fla.",University School,2024
Trech Kekahuna,2,WR,"5'10""",187 lbs,R-Fr.,"Honolulu, Hawaii",Bishop Gorman,2024
Nyzier Fourqurean,3,CB,"6'1""",190 lbs,R-Sr.,"Mentor, Ohio",Mentor,2024
Tawee Walker,3,RB,"5'9""",218 lbs,Sr.,"North Las Vegas, Nev.",Centennial,2024
Tackett Curtis,4,LB,"6'2""",228 lbs,So.,"Many, La.",Many,2024
C.J. Williams,4,WR,"6'1""",196 lbs,Jr.,"Mission Viejo, Calif.",Mater Dei,2024
Quincy Burroughs,5,WR,"6'3""",212 lbs,R-So.,"Jacksonville, Fla.",Raines,2024
RJ Delancy III,5,CB,"5'11""",193 lbs,R-Sr.,"Miami, Fla.",Northwestern,2024
Xavier Lucas,6,CB,"6'2""",198 lbs,Fr.,"Pompano Beach, Fla.",American Heritage,2024
Will Pauling,6,WR,"5'10""",190 lbs,R-Jr.,"Chicago, Ill.",Homewood-Flossmoor,2024
Dilin Jones,7,RB,"6'0""",206 lbs,Fr.,"Laurel, Md.",Our Lady of Good Counsel,2024
Jaheim Thomas,7,LB,"6'4""",245 lbs,R-Sr.,"Cincinnati, Ohio",Princeton,2024
Vinny Anthony II,8,WR,"6'0""",188 lbs,Jr.,"Louisville, Ky.",Male,2024
Leon Lowery Jr.,8,OLB,"6'3""",252 lbs,R-Sr.,"Elizabeth, N.J.",North Brunswick,2024
Austin Brown,9,S,"6'1""",210 lbs,Jr.,"Johnston City, Ill.",Johnston City,2024
Bryson Green,9,WR,"6'3""",213 lbs,Sr.,"Allen, Texas",Allen,2024
Tyler Van Dyke,10,QB,"6'4""",225 lbs,R-Sr.,"Glastonbury, Conn.",Suffield Academy,2024
Omillio Agard,11,CB,"5'11""",180 lbs,Fr.,"Philadelphia, Pa.",St. Joseph's,2024
Mabrey Mettauer,11,QB,"6'4""",230 lbs,Fr.,"The Woodlands, Texas",The Woodlands,2024
Joseph Griffin Jr.,12,WR,"6'4""",208 lbs,Jr.,"Springfield, Mass.",Springfield Central,2024
Max Lofy,12,CB,"5'10""",188 lbs,R-Sr.,"Colorado Springs, Colo.",Pine Creek,2024
Darrion Dupree,13,RB,"5'10""",205 lbs,Fr.,"Chicago, Ill.",Mount Carmel,2024
Kamo'i Latu,13,S,"6'0""",208 lbs,Gr.,"Honolulu, Hawaii",Saint Louis School,2024
Tyrell Henry,14,WR,"6'0""",176 lbs,Jr.,"Roseville, Mich.",Roseville,2024
Preston Zachman,14,S,"6'1""",212 lbs,R-Sr.,"Elysburg, Pa.",Southern Columbia,2024
Sebastian Cheeks,15,LB,"6'3""",230 lbs,R-So.,"Skokie, Ill.",Evanston Township,2024
Amare Snowden,16,CB,"6'4""",210 lbs,R-Fr.,"Roseville, Mich.",Roseville,2024
Milos Spasojevic,16,QB,"6'4""",231 lbs,Fr.,"Minnetonka, Minn.",Minnetonka,2024
Cole LaCrue,17,QB,"6'1""",204 lbs,R-Fr.,"Broomfield, Colo.",Broomfield,2024
Darryl Peterson,17,OLB,"6'1""",248 lbs,R-Jr.,"Akron, Ohio",Archbishop Hoban,2024
Owen Arnett,18,S,"5'11""",210 lbs,R-Jr.,"Delafield, Wis.",Arrowhead,2024
Braedyn Locke,18,QB,"6'0""",205 lbs,R-So.,"Rockwall, Texas",Rockwall,2024
Thomas Heiberger,19,OLB,"6'4""",227 lbs,Fr.,"Sioux Falls, S.D.",Jefferson,2024
Langdon Nordgaard,19,WR,"6'3""",196 lbs,Fr.,"West De Pere, Wis.",West De Pere,2024
Braedyn Moore,20,S,"6'2""",204 lbs,R-Fr.,"Hamilton, Ohio",Stephen T. Badin,2024
Nate White,20,RB,"5'11""",182 lbs,R-Fr.,"Milwaukee, Wis.",Rufus King,2024
Jonas Duclona,21,CB,"5'11""",190 lbs,So.,"Naples, Fla.",Naples,2024
Cam Fane,21,WR,"6'1""",200 lbs,R-So.,"Arlington, Texas",Madison Edgewood (Wis.),2024
Jace Arnold,22,CB,"5'9""",185 lbs,R-Fr.,"Marietta, Ga.",Marietta,2024
Kyan Berry-Johnson,22,WR,"5'10""",180 lbs,Fr.,"Bolingbrook, Ill.",Bolingbrook,2024
Landon Gauthier,23,LB,"6'3""",235 lbs,Fr.,"Green Bay, Wis.",Bay Port,2024
Davion Thomas-Kumpula,23,WR,"5'11""",180 lbs,R-Fr.,"Racine, Wis.",Saint Catherine's,2024
Hunter Wohler,24,S,"6'2""",218 lbs,Sr.,"Muskego, Wis.",Muskego,2024
Justin Taylor,25,S,"6'0""",200 lbs,R-Fr.,"Broadview, Ill.",Nazareth Academy,2024
Cade Yacamelli,25,RB,"6'0""",215 lbs,R-So.,"Trafford, Pa.",Penn-Trafford,2024
Jay Harper,26,CB,"5'10""",176 lbs,Fr.,"Valley, Ala.",Valley,2024
Grady O'Neill,26,WR,"5'11""",165 lbs,R-So.,"Prior Lake, Minn.",St. Thomas Academy,2024
Haakon Anderson,27,WR,"6'1""",212 lbs,R-Sr.,"Verona, Wis.",Verona,2024
Raphael Dunn,27,S,"6'4""",207 lbs,Fr.,"Lawrenceville, N.J.",The Lawrenceville School,2024
Christian Alliegro,28,LB,"6'4""",240 lbs,So.,"Darien, Conn.",Avon Old Farms,2024
Gavin Meyers,28,P,"6'1""",198 lbs,R-Sr.,"Oshkosh, Wis.",Lourdes Academy,2024
Nate Van Zelst,29,K,"5'11""",190 lbs,R-Jr.,"Glenview, Ill.",Loyola Academy,2024
